stage,multiplier,P,seed,feasible_raw,row_violations,col_violations,travel,gap_vs_2opt_ratio,gap_vs_2opt_pct
B,0.5,19.0,32,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,0.5,19.0,34,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,0.5,19.0,40,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,0.5,19.0,35,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,0.5,19.0,25,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,0.5,19.0,26,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,0.5,19.0,37,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.0,38.0,48,True,0,0,46.0,1.393939393939394,39.39393939393939
B,1.0,38.0,59,True,0,0,48.0,1.4545454545454546,45.45454545454545
B,1.0,38.0,57,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,1.0,38.0,60,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,1.0,38.0,55,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,1.0,38.0,49,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.0,38.0,56,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.0,38.0,63,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.0,38.0,64,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,1.0,38.0,50,True,0,0,56.0,1.696969696969697,69.6969696969697
B,1.0,38.0,51,True,0,0,56.0,1.696969696969697,69.6969696969697
B,1.0,38.0,47,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,1.0,38.0,52,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,1.0,38.0,53,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,1.0,38.0,54,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.0,38.0,62,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.0,38.0,45,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,1.0,38.0,46,True,0,0,62.0,1.878787878787879,87.87878787878788
B,1.0,38.0,58,True,0,0,66.0,2.0,100.0
B,1.0,38.0,61,True,0,0,67.0,2.0303030303030303,103.03030303030303
B,1.5,57.0,68,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,1.5,57.0,69,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.5,57.0,77,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.5,57.0,79,True,0,0,53.0,1.606060606060606,60.60606060606061
B,1.5,57.0,65,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,1.5,57.0,66,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,1.5,57.0,73,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,1.5,57.0,81,True,0,0,56.0,1.696969696969697,69.6969696969697
B,1.5,57.0,82,True,0,0,56.0,1.696969696969697,69.6969696969697
B,1.5,57.0,71,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,1.5,57.0,72,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,1.5,57.0,76,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,1.5,57.0,78,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,1.5,57.0,67,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.5,57.0,75,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.5,57.0,83,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,1.5,57.0,84,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,1.5,57.0,70,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,1.5,57.0,80,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,1.5,57.0,74,True,0,0,70.0,2.121212121212121,112.12121212121211
B,2.0,76.0,92,True,0,0,47.0,1.4242424242424243,42.42424242424242
B,2.0,76.0,88,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,2.0,76.0,103,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,2.0,76.0,91,True,0,0,50.0,1.5151515151515151,51.515151515151516
B,2.0,76.0,86,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,2.0,76.0,95,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,2.0,76.0,100,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,2.0,76.0,102,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,2.0,76.0,104,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,2.0,76.0,93,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,2.0,76.0,96,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,2.0,76.0,85,True,0,0,56.0,1.696969696969697,69.6969696969697
B,2.0,76.0,94,True,0,0,56.0,1.696969696969697,69.6969696969697
B,2.0,76.0,89,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,2.0,76.0,97,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,2.0,76.0,98,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,2.0,76.0,101,True,0,0,62.0,1.878787878787879,87.87878787878788
B,2.0,76.0,90,True,0,0,63.0,1.9090909090909092,90.9090909090909
B,2.0,76.0,87,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,2.0,76.0,99,True,0,0,71.0,2.1515151515151514,115.15151515151516
B,3.0,114.0,123,True,0,0,45.0,1.3636363636363635,36.36363636363637
B,3.0,114.0,114,True,0,0,46.0,1.393939393939394,39.39393939393939
B,3.0,114.0,118,True,0,0,48.0,1.4545454545454546,45.45454545454545
B,3.0,114.0,122,True,0,0,48.0,1.4545454545454546,45.45454545454545
B,3.0,114.0,107,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,3.0,114.0,105,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,3.0,114.0,108,True,0,0,53.0,1.606060606060606,60.60606060606061
B,3.0,114.0,111,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,3.0,114.0,113,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,3.0,114.0,121,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,3.0,114.0,112,True,0,0,56.0,1.696969696969697,69.6969696969697
B,3.0,114.0,117,True,0,0,56.0,1.696969696969697,69.6969696969697
B,3.0,114.0,106,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,3.0,114.0,115,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,3.0,114.0,120,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,3.0,114.0,124,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,3.0,114.0,116,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,3.0,114.0,119,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,3.0,114.0,110,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,3.0,114.0,109,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,5.0,190.0,144,True,0,0,45.0,1.3636363636363635,36.36363636363637
B,5.0,190.0,126,True,0,0,50.0,1.5151515151515151,51.515151515151516
B,5.0,190.0,131,True,0,0,50.0,1.5151515151515151,51.515151515151516
B,5.0,190.0,136,True,0,0,50.0,1.5151515151515151,51.515151515151516
